Tabel name	SD name	SD (i)	Orient (id)	Orient (i)	Orient (n)	Orient (en)	SD-O (i)
Table A.5	HorSD	0	Utara	0	N	North	0-0
Table A.7	HorSD	0	Timur Laut	1	NE	Northeast	0-1
Table A.6	HorSD	0	Timur	2	E	East	0-2
Table A.8	HorSD	0	Tenggara	3	SE	Southeast	0-3
Table A.5	HorSD	0	Selatan	4	S	South	0-4
Table A.8	HorSD	0	Barat Daya	5	SW	Southwest	0-5
Table A.7	HorSD	0	Barat Laut	7	NW	Northwest	0-7
Table A.6	HorSD	0	Barat	6	W	West	0-6
Table A.9	VerSD	1	Utara	0	N	North	1-0
Table A.11	VerSD	1	Timur Laut	1	NE	Northeast	1-1
Table A.10	VerSD	1	Timur	2	E	East	1-2
Table A.12	VerSD	1	Tenggara	3	SE	Southeast	1-3
Table A.9	VerSD	1	Selatan	4	S	South	1-4
Table A.12	VerSD	1	Barat Daya	5	SW	Southwest	1-5
Table A.10	VerSD	1	Barat	6	W	West	1-6
Table A.11	VerSD	1	Barat Laut	7	NW	Northwest	1-7
Table A.13	ECSD	2	Utara	0	N	North	2-0
Table A.15	ECSD	2	Timur Laut	1	NE	Northeast	2-1
Table A.14	ECSD	2	Timur	2	E	East	2-2
Table A.16	ECSD	2	Tenggara	3	SE	Southeast	2-3
Table A.13	ECSD	2	Selatan	4	S	South	2-4
Table A.16	ECSD	2	Barat Daya	5	SW	Southwest	2-5
Table A.14	ECSD	2	Barat	6	W	West	2-6
Table A.15	ECSD	2	Barat Laut	7	NW	Northwest	2-7
